stg,sys,system,series,stage,short,bottom,mid,top,dur,systemCol,seriesCol,col,t2d,t2u,t3,tPart,tGFd,tGFu,tSing,tOri,tExt,tThrough,divSIB,divCSIB,divRT,divBC,extProp,oriProp,extPC,oriPC,ext3t,ori3t,extC3t,oriC3t,extGF,oriGF,E2f3,O2f3,ext2f3,ori2f3,samp3t,sampRange,diet,mass_extinction,food_mass_extinction,me_no_perm
1,E,Ediacaran,Upper Ediacaran,Avalon Assemblage,Ava,580,570,560,20,#fddd88,#fddd88,#fcd589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,FALSE,FALSE,FALSE
2,E,Ediacaran,Upper Ediacaran,White Sea Assemblage,Whs,560,555,550,10,#fddd88,#fddd88,#fdd587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,FALSE,FALSE,FALSE
3,E,Ediacaran,Upper Ediacaran,Nama Assemblage,Nam,550,544.4,538.8,11.2,#fddd88,#fddd88,#fed583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,FALSE,FALSE,FALSE
4,Cm,Cambrian,Terreneuvian,Fortunian,For,538.8,533.9,529,9.8,#94ac72,#9db989,#a9be93,NA,93,NA,NA,NA,NA,51,110,NA,NA,161,NA,161,NA,0.316770186335404,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,FALSE,FALSE,FALSE
5,Cm,Cambrian,Terreneuvian,Stage 2,St2,529,525,521,8,#94ac72,#9db989,#b6c29e,93,120,52,15,NA,1,47,79,38,72,219,222.132805238121,236,110,0.360169491525424,0.533898305084746,0.423814246776361,0.740613717798869,0.581355774571829,0.836248024200619,0.545637691969749,NA,0.462623521948113,NA,0.268518518518519,NA,0.312683374657198,NA,0.776119402985075,0.763888888888889,Both,FALSE,FALSE,FALSE
6,Cm,Cambrian,Series 2,Stage 3,St3,521,517.75,514.5,6.5,#94ac72,#a9c595,#b5ca9f,120,204,55,2,4,10,355,173,66,85,663,540.907274119068,679,151,0.620029455081001,0.777614138438881,0.574628580324608,1.1103083284313,0.780158557549575,1.31078680861175,0.441556394670537,1.05733790780221,0.59932842534229,1.21700230461627,0.450819672131148,0.699029126213592,0.59932842534229,1.20074178374449,0.964912280701754,0.811764705882353,Both,FALSE,FALSE,FALSE
7,Cm,Cambrian,Series 2,Stage 4,St4,514.5,511.75,509,5.5,#94ac72,#a9c595,#c0ceaa,204,171,67,27,4,11,149,116,127,131,471,520.200883330083,523,258,0.527724665391969,0.506692160611855,0.677762261720466,0.634191013426826,1.11342737445325,0.936970937111694,0.897718801626559,0.901252854509615,0.78845736036427,0.703299552023963,0.480519480519481,0.419191919191919,0.654925967739748,0.543334902331285,0.712765957446808,0.603053435114504,Both,FALSE,FALSE,FALSE
8,Cm,Cambrian,Maolingian,Wulian,Wul,509,506.75,504.5,4.5,#94ac72,#b6d2a2,#c1d6af,171,148,54,13,12,7,225,112,125,122,539,526.461886116528,584,247,0.599315068493151,0.577054794520548,0.705367291894721,0.651300070624445,1.15267950993839,1.00822822719984,0.806933636531843,0.669626064320803,0.910870664404816,0.711956512517442,0.559782608695652,0.496894409937888,0.820486602936547,0.686955210312024,0.805970149253731,0.631147540983607,Both,FALSE,FALSE,FALSE
9,Cm,Cambrian,Maolingian,Drumian,Dru,504.5,502.5,500.5,4,#94ac72,#b6d2a2,#cddbb8,148,104,46,19,6,9,75,58,94,140,297,330.376464707938,367,234,0.460490463215259,0.362397820163488,0.513678692748397,0.346624608085231,1.16857087727502,0.815749502652278,0.971860583028966,0.600040929825586,0.813928719212585,0.549504478331102,0.479041916167665,0.32520325203252,0.652085693762171,0.39334374757582,0.707692307692308,0.5,Both,FALSE,FALSE,FALSE
10,Cm,Cambrian,Maolingian,Guzhangian,Guz,500.5,498.75,497,3.5,#94ac72,#b6d2a2,#d6e1c1,104,79,23,5,6,9,118,87,85,113,335,321.049597405901,403,198,0.503722084367246,0.508684863523573,0.560879211982195,0.570929547835696,1.50889668321222,1.23395363653787,0.972095573042972,0.88820776313133,1.08042996958492,0.904456274227152,0.660550458715596,0.595238095238095,1.08042996958492,0.904456274227152,0.821428571428571,0.398230088495575,Both,FALSE,FALSE,FALSE
